Employee_ID,First Name,Last Name,Age,Salary,Department,Join_Date,Join_Year,Bonus_Eligible
1001,Rahul,Singh,41.29473684210527,88144.0,Sales,21-04-2023,2023,Yes
1002,Isha,Patel,25.0,67445.0,HR,13-03-2021,2021,No
1003,Vikram,Mehta,52.0,45385.0,Marketing,01-05-2020,2020,No
1004,Neha,Mehta,42.0,111556.0,Marketing,28-05-2020,2020,No
1005,Isha,Deshmukh,24.0,74785.0,Sales,06-12-2023,2023,Yes
1006,Ananya,Deshmukh,35.0,93817.0,Marketing,18-05-2020,2020,No
1007,Isha,Singh,53.0,111556.0,IT,06-08-2021,2021,No
1008,Kunal,Kulkarni,25.0,76473.87234042553,Sales,25-07-2019,2019,No
1009,Vikram,Pawar,52.0,45385.0,Operations,19-02-2023,2023,Yes
1010,Ananya,Patel,49.0,105493.0,Marketing,10-11-2024,2024,Yes
1011,Ananya,Deshmukh,58.0,45385.0,IT,30-08-2020,2020,No
1012,Vikram,Pawar,31.0,105686.0,Sales,19-02-2019,2019,No
1013,Sneha,Shah,52.0,86370.0,Marketing,11-02-2024,2024,Yes
1014,Aarav,Pawar,59.0,59364.0,Marketing,20-03-2024,2024,Yes
1015,Ananya,Patel,41.29473684210527,112887.0,Operations,13-02-2026,2026,Yes
1016,Rahul,Singh,34.0,45279.0,Sales,13-09-2025,2025,Yes
1017,Sneha,Mehta,41.0,46974.0,Sales,15-11-2024,2024,Yes
1018,Ananya,Mehta,56.0,93384.0,IT,15-10-2025,2025,Yes
1019,Rohan,Shah,41.29473684210527,99793.0,HR,06-05-2024,2024,Yes
1020,Neha,Pawar,37.0,45385.0,Sales,15-11-2024,2024,Yes
1021,Priya,Shah,59.0,43240.0,Sales,01-06-2022,2022,Yes
1022,Rohan,Gupta,34.0,107844.0,Marketing,11-06-2024,2024,Yes
1023,Aarav,Mehta,43.0,76473.87234042553,HR,05-02-2024,2024,Yes
1024,Vikram,Patel,47.0,114445.0,HR,05-04-2022,2022,Yes
1025,Rohan,Patel,43.0,71264.0,Marketing,24-07-2020,2020,No
1026,Kunal,Deshmukh,40.0,100706.0,Sales,18-12-2020,2020,No
1027,Sneha,Singh,23.0,114185.0,IT,14-06-2018,2018,No
1028,Aarav,Pawar,50.0,59364.0,Finance,14-03-2020,2020,No
1029,Ananya,Shah,41.0,112384.0,IT,15-04-2019,2019,No
1030,Rohan,Shah,22.0,51152.0,IT,06-05-2019,2019,No
1031,Priya,Patel,34.0,80101.0,HR,02-12-2020,2020,No
